passengers,vehicles,vehicle speed,x-dim,y-dim,time horizon,update interval,immediate pickup penalty,reassignment penalty,waiting penalty,pass1 penalty,pass2 penalty,rideshare flat penalty,zeta,rideshares,run time,number served,empty km 1,empty km 2,total km,average wait,wait times
passengers,vehicles,vehicle speed,x-dim,y-dim,time horizon,update interval,immediate pickup penalty,reassignment penalty,waiting penalty,pass1 penalty,pass2 penalty,rideshare flat penalty,zeta,rideshares,run time,number served,empty km 1,empty km 2,total km,average wait,wait times
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.5999999999999999,0.8999999999999999,True,1620.0,60,110.47595292508042,28.43660343893179,315.96707101506394,195.16666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 120.0, 0, 120.0, 110.0, 140.0, 290.0, 320.0, 20.0, 40.0, 120.0, 0, 0, 0, 0, 340.0, 0, 0, 180.0, 80.0, 40.0, 80.0, 0, 0, 320.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 180.0, 0, 0, 270.0, 300.0, 0, 10.0, 40.0, 60.0, 50.0, 60.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 70.0, 60.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.5999999999999999,1.0999999999999999,True,1740.0,60,106.72036914363923,31.25482809935789,315.0143944965419,194.66666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 160.0, 120.0, 120.0, 60.0, 320.0, 20.0, 40.0, 120.0, 0, 0, 0, 0, 180.0, 0, 0, 70.0, 80.0, 40.0, 80.0, 0, 0, 60.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 160.0, 0, 0, 300.0, 320.0, 0, 10.0, 40.0, 60.0, 50.0, 340.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 140.0, 290.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.5999999999999999,1.2999999999999998,True,1350.0,60,104.36033114118567,33.35346330850838,309.81902536637114,193.83333333333334,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 320.0, 70.0, 130.0, 180.0, 340.0, 20.0, 40.0, 120.0, 0, 0, 0, 0, 120.0, 0, 0, 60.0, 80.0, 40.0, 80.0, 0, 0, 70.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 60.0, 0, 0, 300.0, 320.0, 0, 10.0, 40.0, 350.0, 50.0, 120.0, 50.0, 60.0, 0, 20.0, 0, 40.0, 360.0, 160.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.5999999999999999,1.4999999999999998,True,1650.0,60,103.17154025616645,44.71478883680981,319.5780503101069,200.16666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 60.0, 350.0, 130.0, 320.0, 360.0, 20.0, 40.0, 320.0, 0, 0, 0, 0, 180.0, 0, 0, 300.0, 80.0, 40.0, 80.0, 0, 0, 60.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 240.0, 0, 0, 120.0, 60.0, 0, 10.0, 40.0, 160.0, 50.0, 120.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 70.0, 120.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.5999999999999999,1.6999999999999997,True,1890.0,60,102.96920826995004,36.30631185052086,319.33802949613965,193.66666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 160.0, 350.0, 130.0, 180.0, 60.0, 20.0, 40.0, 300.0, 0, 0, 0, 0, 120.0, 0, 0, 120.0, 80.0, 40.0, 80.0, 0, 0, 60.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 320.0, 0, 0, 240.0, 320.0, 0, 10.0, 40.0, 70.0, 50.0, 60.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 290.0, 120.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.5999999999999999,1.8999999999999997,True,1720.0,60,100.02470141246893,30.232569869370398,312.2078086814971,187.16666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 160.0, 360.0, 70.0, 60.0, 60.0, 20.0, 40.0, 350.0, 0, 0, 0, 0, 120.0, 0, 0, 300.0, 80.0, 40.0, 80.0, 0, 0, 180.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 130.0, 0, 0, 70.0, 240.0, 0, 10.0, 40.0, 320.0, 50.0, 120.0, 50.0, 60.0, 0, 20.0, 0, 40.0, 320.0, 120.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.7999999999999998,0.7,True,1700.0,60,97.97019050723125,34.922319122777715,311.3196815653936,185.33333333333334,"[40.0, 30.0, 0, 0, 0, 20.0, 300.0, 0, 160.0, 300.0, 60.0, 60.0, 320.0, 20.0, 40.0, 270.0, 0, 0, 0, 0, 120.0, 0, 0, 180.0, 90.0, 40.0, 80.0, 0, 0, 80.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 70.0, 0, 0, 110.0, 120.0, 0, 10.0, 40.0, 60.0, 50.0, 290.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 140.0, 270.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.7999999999999998,0.8999999999999999,True,1840.0,60,106.93507423641468,28.9371333389964,329.4946184839954,194.16666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 300.0, 0, 60.0, 320.0, 160.0, 270.0, 340.0, 20.0, 40.0, 120.0, 0, 0, 0, 0, 180.0, 0, 0, 60.0, 80.0, 40.0, 80.0, 0, 0, 70.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 120.0, 0, 0, 120.0, 110.0, 0, 10.0, 40.0, 60.0, 50.0, 320.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 140.0, 290.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.7999999999999998,1.0999999999999999,True,1840.0,60,107.36078336876743,31.89080098336949,314.5776388721959,195.0,"[40.0, 30.0, 0, 0, 0, 20.0, 120.0, 0, 160.0, 320.0, 160.0, 60.0, 340.0, 20.0, 40.0, 120.0, 0, 0, 0, 0, 70.0, 0, 0, 70.0, 80.0, 40.0, 80.0, 0, 0, 180.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 320.0, 0, 0, 120.0, 300.0, 0, 10.0, 40.0, 60.0, 50.0, 320.0, 50.0, 60.0, 0, 20.0, 0, 40.0, 140.0, 290.0, 0]"
60,25,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,1.7999999999999998,1.2999999999999998,True,1570.0,60,95.03690371539689,33.58262617238442,307.31292885385557,183.16666666666666,"[40.0, 30.0, 0, 0, 0, 20.0, 320.0, 0, 160.0, 320.0, 160.0, 300.0, 180.0, 20.0, 40.0, 120.0, 0, 0, 0, 0, 120.0, 0, 0, 290.0, 80.0, 40.0, 80.0, 0, 0, 60.0, 0, 0, 30.0, 0, 0, 0, 0, 20.0, 100.0, 0, 320.0, 0, 0, 240.0, 60.0, 0, 10.0, 40.0, 60.0, 50.0, 120.0, 50.0, 70.0, 0, 20.0, 0, 40.0, 140.0, 70.0, 0]"
